old_sat,new_sat,raw_score
200,200,10.0
210,220,11.0
220,230,11.5
230,250,12.5
240,260,13.0
250,280,14.0
260,300,15.0
270,310,15.5
280,330,16.5
290,340,17.0
300,350,17.5
310,360,18.0
320,360,18.0
330,370,18.5
340,380,19.0
350,390,19.5
360,400,20.0
370,410,20.5
380,420,21.0
390,430,21.5
400,440,22.0
410,450,22.5
420,460,23.0
430,470,23.5
440,480,24.0
450,490,24.5
460,500,25.0
470,510,25.5
480,510,25.5
490,520,26.0
500,530,26.5
510,540,27.0
520,550,27.5
530,560,28.0
540,570,28.5
550,570,28.5
560,580,29.0
570,590,29.5
580,600,30.0
590,610,30.5
600,620,31.0
610,630,31.5
620,640,32.0
630,650,32.5
640,660,33.0
650,670,33.5
660,690,34.5
670,700,35.0
680,710,35.5
690,720,36.0
700,730,36.5
710,740,37.0
720,750,37.5
730,760,38.0
740,760,38.0
750,770,38.5
760,780,39.0
770,780,39.0
780,790,39.5
790,800,40.0
800,800,40.0
